short_name;character;unicode;styles;keyword;categories
fish-cooked;;f7fe;regular;fish-cooked;
fist-raised;;f6de;regular;fist-raised;
flag;;f024;regular;flag;
flag-alt;;f74c;regular;flag-alt;
flag-checkered;;f11e;regular;flag-checkered;
flag-usa;;f74d;regular;flag-usa;
flame;;f6df;regular;flame;
flashlight;;f8b8;regular;flashlight;
flask;;f0c3;regular;flask;
flask-poison;;f6e0;regular;flask-poison;
flask-potion;;f6e1;regular;flask-potion;
flower;;f7ff;regular;flower;
flower-daffodil;;f800;regular;flower-daffodil;
flower-tulip;;f801;regular;flower-tulip;
flushed;;f579;regular;flushed;
flute;;f8b9;regular;flute;
flux-capacitor;;f8ba;regular;flux-capacitor;
fog;;f74e;regular;fog;
folder;;f07b;regular;folder;
folder-download;;e053;regular;folder-download;
folder-minus;;f65d;regular;folder-minus;
folder-open;;f07c;regular;folder-open;
folder-plus;;f65e;regular;folder-plus;
folder-times;;f65f;regular;folder-times;
folder-tree;;f802;regular;folder-tree;
folder-upload;;e054;regular;folder-upload;
folders;;f660;regular;folders;
font;;f031;regular;font;
font-case;;f866;regular;font-case;
football-ball;;f44e;regular;football-ball;
football-helmet;;f44f;regular;football-helmet;
forklift;;f47a;regular;forklift;
forward;;f04e;regular;forward;
fragile;;f4bb;regular;fragile;
french-fries;;f803;regular;french-fries;
frog;;f52e;regular;frog;
frosty-head;;f79b;regular;frosty-head;
frown;;f119;regular;frown;
frown-open;;f57a;regular;frown-open;
function;;f661;regular;function;
funnel-dollar;;f662;regular;funnel-dollar;
futbol;;f1e3;regular;futbol;
galaxy;;e008;regular;galaxy;
game-board;;f867;regular;game-board;
game-board-alt;;f868;regular;game-board-alt;
game-console-handheld;;f8bb;regular;game-console-handheld;
gamepad;;f11b;regular;gamepad;
gamepad-alt;;f8bc;regular;gamepad-alt;
garage;;e009;regular;garage;
garage-car;;e00a;regular;garage-car;
garage-open;;e00b;regular;garage-open;
gas-pump;;f52f;regular;gas-pump;
gas-pump-slash;;f5f4;regular;gas-pump-slash;
gavel;;f0e3;regular;gavel;
gem;;f3a5;regular;gem;
genderless;;f22d;regular;genderless;
ghost;;f6e2;regular;ghost;
gift;;f06b;regular;gift;
gift-card;;f663;regular;gift-card;
gifts;;f79c;regular;gifts;
gingerbread-man;;f79d;regular;gingerbread-man;
glass;;f804;regular;glass;
glass-champagne;;f79e;regular;glass-champagne;
glass-cheers;;f79f;regular;glass-cheers;
glass-citrus;;f869;regular;glass-citrus;
glass-martini;;f000;regular;glass-martini;
glass-martini-alt;;f57b;regular;glass-martini-alt;
glass-whiskey;;f7a0;regular;glass-whiskey;
glass-whiskey-rocks;;f7a1;regular;glass-whiskey-rocks;
glasses;;f530;regular;glasses;
glasses-alt;;f5f5;regular;glasses-alt;
globe;;f0ac;regular;globe;
globe-africa;;f57c;regular;globe-africa;
globe-americas;;f57d;regular;globe-americas;
globe-asia;;f57e;regular;globe-asia;
globe-europe;;f7a2;regular;globe-europe;
globe-snow;;f7a3;regular;globe-snow;
globe-stand;;f5f6;regular;globe-stand;
golf-ball;;f450;regular;golf-ball;
golf-club;;f451;regular;golf-club;
gopuram;;f664;regular;gopuram;
graduation-cap;;f19d;regular;graduation-cap;
gramophone;;f8bd;regular;gramophone;
greater-than;;f531;regular;greater-than;
greater-than-equal;;f532;regular;greater-than-equal;
grimace;;f57f;regular;grimace;
grin;;f580;regular;grin;
grin-alt;;f581;regular;grin-alt;
grin-beam;;f582;regular;grin-beam;
grin-beam-sweat;;f583;regular;grin-beam-sweat;
grin-hearts;;f584;regular;grin-hearts;
grin-squint;;f585;regular;grin-squint;
grin-squint-tears;;f586;regular;grin-squint-tears;
grin-stars;;f587;regular;grin-stars;
grin-tears;;f588;regular;grin-tears;
grin-tongue;;f589;regular;grin-tongue;
grin-tongue-squint;;f58a;regular;grin-tongue-squint;
grin-tongue-wink;;f58b;regular;grin-tongue-wink;
grin-wink;;f58c;regular;grin-wink;
grip-horizontal;;f58d;regular;grip-horizontal;
grip-lines;;f7a4;regular;grip-lines;
grip-lines-vertical;;f7a5;regular;grip-lines-vertical;
grip-vertical;;f58e;regular;grip-vertical;
guitar;;f7a6;regular;guitar;
guitar-electric;;f8be;regular;guitar-electric;
guitars;;f8bf;regular;guitars;
h-square;;f0fd;regular;h-square;
h1;;f313;regular;h1;
h2;;f314;regular;h2;
h3;;f315;regular;h3;
h4;;f86a;regular;h4;
hamburger;;f805;regular;hamburger;
hammer;;f6e3;regular;hammer;
hammer-war;;f6e4;regular;hammer-war;
hamsa;;f665;regular;hamsa;
hand-heart;;f4bc;regular;hand-heart;
hand-holding;;f4bd;regular;hand-holding;
hand-holding-box;;f47b;regular;hand-holding-box;
hand-holding-heart;;f4be;regular;hand-holding-heart;
hand-holding-magic;;f6e5;regular;hand-holding-magic;
hand-holding-medical;;e05c;regular;hand-holding-medical;
hand-holding-seedling;;f4bf;regular;hand-holding-seedling;
hand-holding-usd;;f4c0;regular;hand-holding-usd;
hand-holding-water;;f4c1;regular;hand-holding-water;
hand-lizard;;f258;regular;hand-lizard;
hand-middle-finger;;f806;regular;hand-middle-finger;
hand-paper;;f256;regular;hand-paper;
hand-peace;;f25b;regular;hand-peace;
hand-point-down;;f0a7;regular;hand-point-down;
hand-point-left;;f0a5;regular;hand-point-left;
hand-point-right;;f0a4;regular;hand-point-right;
hand-point-up;;f0a6;regular;hand-point-up;
hand-pointer;;f25a;regular;hand-pointer;
hand-receiving;;f47c;regular;hand-receiving;
hand-rock;;f255;regular;hand-rock;
hand-scissors;;f257;regular;hand-scissors;
hand-sparkles;;e05d;regular;hand-sparkles;
hand-spock;;f259;regular;hand-spock;
hands;;f4c2;regular;hands;
hands-heart;;f4c3;regular;hands-heart;
hands-helping;;f4c4;regular;hands-helping;
hands-usd;;f4c5;regular;hands-usd;
hands-wash;;e05e;regular;hands-wash;
handshake;;f2b5;regular;handshake;
handshake-alt;;f4c6;regular;handshake-alt;
handshake-alt-slash;;e05f;regular;handshake-alt-slash;
handshake-slash;;e060;regular;handshake-slash;
hanukiah;;f6e6;regular;hanukiah;
hard-hat;;f807;regular;hard-hat;
hashtag;;f292;regular;hashtag;
hat-chef;;f86b;regular;hat-chef;
hat-cowboy;;f8c0;regular;hat-cowboy;
hat-cowboy-side;;f8c1;regular;hat-cowboy-side;
hat-santa;;f7a7;regular;hat-santa;
hat-winter;;f7a8;regular;hat-winter;
hat-witch;;f6e7;regular;hat-witch;
hat-wizard;;f6e8;regular;hat-wizard;
hdd;;f0a0;regular;hdd;
head-side;;f6e9;regular;head-side;
head-side-brain;;f808;regular;head-side-brain;
head-side-cough;;e061;regular;head-side-cough;
head-side-cough-slash;;e062;regular;head-side-cough-slash;
head-side-headphones;;f8c2;regular;head-side-headphones;
head-side-mask;;e063;regular;head-side-mask;
head-side-medical;;f809;regular;head-side-medical;
head-side-virus;;e064;regular;head-side-virus;
head-vr;;f6ea;regular;head-vr;
heading;;f1dc;regular;heading;
headphones;;f025;regular;headphones;
headphones-alt;;f58f;regular;headphones-alt;
headset;;f590;regular;headset;
heart;;f004;regular;heart;
heart-broken;;f7a9;regular;heart-broken;
heart-circle;;f4c7;regular;heart-circle;
heart-rate;;f5f8;regular;heart-rate;
heart-square;;f4c8;regular;heart-square;
heartbeat;;f21e;regular;heartbeat;
heat;;e00c;regular;heat;
helicopter;;f533;regular;helicopter;
helmet-battle;;f6eb;regular;helmet-battle;
hexagon;;f312;regular;hexagon;
highlighter;;f591;regular;highlighter;
hiking;;f6ec;regular;hiking;
hippo;;f6ed;regular;hippo;
history;;f1da;regular;history;
hockey-mask;;f6ee;regular;hockey-mask;
hockey-puck;;f453;regular;hockey-puck;
hockey-sticks;;f454;regular;hockey-sticks;
holly-berry;;f7aa;regular;holly-berry;
home;;f015;regular;home;
home-alt;;f80a;regular;home-alt;
home-heart;;f4c9;regular;home-heart;
home-lg;;f80b;regular;home-lg;
home-lg-alt;;f80c;regular;home-lg-alt;
hood-cloak;;f6ef;regular;hood-cloak;
horizontal-rule;;f86c;regular;horizontal-rule;
horse;;f6f0;regular;horse;
horse-head;;f7ab;regular;horse-head;
horse-saddle;;f8c3;regular;horse-saddle;
hospital;;f0f8;regular;hospital;
hospital-alt;;f47d;regular;hospital-alt;
hospital-symbol;;f47e;regular;hospital-symbol;
hospital-user;;f80d;regular;hospital-user;
hospitals;;f80e;regular;hospitals;
hot-tub;;f593;regular;hot-tub;
hotdog;;f80f;regular;hotdog;
hotel;;f594;regular;hotel;
hourglass;;f254;regular;hourglass;
hourglass-end;;f253;regular;hourglass-end;
hourglass-half;;f252;regular;hourglass-half;
hourglass-start;;f251;regular;hourglass-start;
house;;e00d;regular;house;
house-damage;;f6f1;regular;house-damage;
house-day;;e00e;regular;house-day;
house-flood;;f74f;regular;house-flood;
house-leave;;e00f;regular;house-leave;
house-night;;e010;regular;house-night;
house-return;;e011;regular;house-return;
house-signal;;e012;regular;house-signal;
house-user;;e065;regular;house-user;
hryvnia;;f6f2;regular;hryvnia;
humidity;;f750;regular;humidity;
hurricane;;f751;regular;hurricane;
i-cursor;;f246;regular;i-cursor;
ice-cream;;f810;regular;ice-cream;
ice-skate;;f7ac;regular;ice-skate;
icicles;;f7ad;regular;icicles;
icons;;f86d;regular;icons;
icons-alt;;f86e;regular;icons-alt;
id-badge;;f2c1;regular;id-badge;
id-card;;f2c2;regular;id-card;
id-card-alt;;f47f;regular;id-card-alt;
igloo;;f7ae;regular;igloo;
image;;f03e;regular;image;
image-polaroid;;f8c4;regular;image-polaroid;
images;;f302;regular;images;
inbox;;f01c;regular;inbox;
inbox-in;;f310;regular;inbox-in;
inbox-out;;f311;regular;inbox-out;
indent;;f03c;regular;indent;
industry;;f275;regular;industry;
industry-alt;;f3b3;regular;industry-alt;
infinity;;f534;regular;infinity;
info;;f129;regular;info;
info-circle;;f05a;regular;info-circle;
info-square;;f30f;regular;info-square;
inhaler;;f5f9;regular;inhaler;
integral;;f667;regular;integral;
intersection;;f668;regular;intersection;
inventory;;f480;regular;inventory;
island-tropical;;f811;regular;island-tropical;
italic;;f033;regular;italic;
jack-o-lantern;;f30e;regular;jack-o-lantern;
jedi;;f669;regular;jedi;
joint;;f595;regular;joint;
journal-whills;;f66a;regular;journal-whills;
joystick;;f8c5;regular;joystick;
jug;;f8c6;regular;jug;
kaaba;;f66b;regular;kaaba;
kazoo;;f8c7;regular;kazoo;
kerning;;f86f;regular;kerning;
key;;f084;regular;key;
key-skeleton;;f6f3;regular;key-skeleton;
keyboard;;f11c;regular;keyboard;
keynote;;f66c;regular;keynote;
khanda;;f66d;regular;khanda;
kidneys;;f5fb;regular;kidneys;
kiss;;f596;regular;kiss;
kiss-beam;;f597;regular;kiss-beam;
kiss-wink-heart;;f598;regular;kiss-wink-heart;
kite;;f6f4;regular;kite;
kiwi-bird;;f535;regular;kiwi-bird;
knife-kitchen;;f6f5;regular;knife-kitchen;
lambda;;f66e;regular;lambda;
lamp;;f4ca;regular;lamp;
lamp-desk;;e014;regular;lamp-desk;
lamp-floor;;e015;regular;lamp-floor;
landmark;;f66f;regular;landmark;
landmark-alt;;f752;regular;landmark-alt;
language;;f1ab;regular;language;
laptop;;f109;regular;laptop;
laptop-code;;f5fc;regular;laptop-code;
laptop-house;;e066;regular;laptop-house;
laptop-medical;;f812;regular;laptop-medical;
lasso;;f8c8;regular;lasso;
laugh;;f599;regular;laugh;
laugh-beam;;f59a;regular;laugh-beam;
laugh-squint;;f59b;regular;laugh-squint;
laugh-wink;;f59c;regular;laugh-wink;
layer-group;;f5fd;regular;layer-group;
layer-minus;;f5fe;regular;layer-minus;
layer-plus;;f5ff;regular;layer-plus;
leaf;;f06c;regular;leaf;
leaf-heart;;f4cb;regular;leaf-heart;
leaf-maple;;f6f6;regular;leaf-maple;
leaf-oak;;f6f7;regular;leaf-oak;
lemon;;f094;regular;lemon;
less-than;;f536;regular;less-than;
less-than-equal;;f537;regular;less-than-equal;
level-down;;f149;regular;level-down;
level-down-alt;;f3be;regular;level-down-alt;
level-up;;f148;regular;level-up;
level-up-alt;;f3bf;regular;level-up-alt;
life-ring;;f1cd;regular;life-ring;
light-ceiling;;e016;regular;light-ceiling;
light-switch;;e017;regular;light-switch;
light-switch-off;;e018;regular;light-switch-off;
light-switch-on;;e019;regular;light-switch-on;
lightbulb;;f0eb;regular;lightbulb;
lightbulb-dollar;;f670;regular;lightbulb-dollar;
lightbulb-exclamation;;f671;regular;lightbulb-exclamation;
lightbulb-on;;f672;regular;lightbulb-on;
lightbulb-slash;;f673;regular;lightbulb-slash;
lights-holiday;;f7b2;regular;lights-holiday;
line-columns;;f870;regular;line-columns;
line-height;;f871;regular;line-height;
link;;f0c1;regular;link;
lips;;f600;regular;lips;
lira-sign;;f195;regular;lira-sign;
list;;f03a;regular;list;
list-alt;;f022;regular;list-alt;
list-music;;f8c9;regular;list-music;
list-ol;;f0cb;regular;list-ol;
list-ul;;f0ca;regular;list-ul;
location;;f601;regular;location;
location-arrow;;f124;regular;location-arrow;
location-circle;;f602;regular;location-circle;
location-slash;;f603;regular;location-slash;
lock;;f023;regular;lock;
lock-alt;;f30d;regular;lock-alt;
lock-open;;f3c1;regular;lock-open;
lock-open-alt;;f3c2;regular;lock-open-alt;
long-arrow-alt-down;;f309;regular;long-arrow-alt-down;
long-arrow-alt-left;;f30a;regular;long-arrow-alt-left;
long-arrow-alt-right;;f30b;regular;long-arrow-alt-right;
long-arrow-alt-up;;f30c;regular;long-arrow-alt-up;
long-arrow-down;;f175;regular;long-arrow-down;
long-arrow-left;;f177;regular;long-arrow-left;
long-arrow-right;;f178;regular;long-arrow-right;
long-arrow-up;;f176;regular;long-arrow-up;
loveseat;;f4cc;regular;loveseat;
low-vision;;f2a8;regular;low-vision;
luchador;;f455;regular;luchador;
luggage-cart;;f59d;regular;luggage-cart;
lungs;;f604;regular;lungs;
lungs-virus;;e067;regular;lungs-virus;
mace;;f6f8;regular;mace;
magic;;f0d0;regular;magic;
magnet;;f076;regular;magnet;
mail-bulk;;f674;regular;mail-bulk;
mailbox;;f813;regular;mailbox;
male;;f183;regular;male;
mandolin;;f6f9;regular;mandolin;
map;;f279;regular;map;
map-marked;;f59f;regular;map-marked;
map-marked-alt;;f5a0;regular;map-marked-alt;
map-marker;;f041;regular;map-marker;
map-marker-alt;;f3c5;regular;map-marker-alt;
map-marker-alt-slash;;f605;regular;map-marker-alt-slash;
map-marker-check;;f606;regular;map-marker-check;
map-marker-edit;;f607;regular;map-marker-edit;
map-marker-exclamation;;f608;regular;map-marker-exclamation;
map-marker-minus;;f609;regular;map-marker-minus;
map-marker-plus;;f60a;regular;map-marker-plus;
map-marker-question;;f60b;regular;map-marker-question;
map-marker-slash;;f60c;regular;map-marker-slash;
map-marker-smile;;f60d;regular;map-marker-smile;
map-marker-times;;f60e;regular;map-marker-times;
map-pin;;f276;regular;map-pin;
map-signs;;f277;regular;map-signs;
marker;;f5a1;regular;marker;
mars;;f222;regular;mars;
mars-double;;f227;regular;mars-double;
mars-stroke;;f229;regular;mars-stroke;
mars-stroke-h;;f22b;regular;mars-stroke-h;
mars-stroke-v;;f22a;regular;mars-stroke-v;
mask;;f6fa;regular;mask;
meat;;f814;regular;meat;
medal;;f5a2;regular;medal;
medkit;;f0fa;regular;medkit;
megaphone;;f675;regular;megaphone;
meh;;f11a;regular;meh;
meh-blank;;f5a4;regular;meh-blank;
meh-rolling-eyes;;f5a5;regular;meh-rolling-eyes;
memory;;f538;regular;memory;
menorah;;f676;regular;menorah;
mercury;;f223;regular;mercury;
meteor;;f753;regular;meteor;
microchip;;f2db;regular;microchip;
microphone;;f130;regular;microphone;
microphone-alt;;f3c9;regular;microphone-alt;
microphone-alt-slash;;f539;regular;microphone-alt-slash;
microphone-slash;;f131;regular;microphone-slash;
microphone-stand;;f8cb;regular;microphone-stand;
microscope;;f610;regular;microscope;
microwave;;e01b;regular;microwave;
mind-share;;f677;regular;mind-share;
minus;;f068;regular;minus;
minus-circle;;f056;regular;minus-circle;
minus-hexagon;;f307;regular;minus-hexagon;
minus-octagon;;f308;regular;minus-octagon;
minus-square;;f146;regular;minus-square;
mistletoe;;f7b4;regular;mistletoe;
mitten;;f7b5;regular;mitten;
mobile;;f10b;regular;mobile;
mobile-alt;;f3cd;regular;mobile-alt;
mobile-android;;f3ce;regular;mobile-android;
mobile-android-alt;;f3cf;regular;mobile-android-alt;
money-bill;;f0d6;regular;money-bill;
money-bill-alt;;f3d1;regular;money-bill-alt;
money-bill-wave;;f53a;regular;money-bill-wave;
money-bill-wave-alt;;f53b;regular;money-bill-wave-alt;
money-check;;f53c;regular;money-check;
money-check-alt;;f53d;regular;money-check-alt;
money-check-edit;;f872;regular;money-check-edit;
money-check-edit-alt;;f873;regular;money-check-edit-alt;
monitor-heart-rate;;f611;regular;monitor-heart-rate;
monkey;;f6fb;regular;monkey;
monument;;f5a6;regular;monument;
moon;;f186;regular;moon;
moon-cloud;;f754;regular;moon-cloud;
moon-stars;;f755;regular;moon-stars;
mortar-pestle;;f5a7;regular;mortar-pestle;
mosque;;f678;regular;mosque;
motorcycle;;f21c;regular;motorcycle;
mountain;;f6fc;regular;mountain;
mountains;;f6fd;regular;mountains;
mouse;;f8cc;regular;mouse;
mouse-alt;;f8cd;regular;mouse-alt;
mouse-pointer;;f245;regular;mouse-pointer;
mp3-player;;f8ce;regular;mp3-player;
mug;;f874;regular;mug;
mug-hot;;f7b6;regular;mug-hot;
mug-marshmallows;;f7b7;regular;mug-marshmallows;
mug-tea;;f875;regular;mug-tea;
music;;f001;regular;music;
music-alt;;f8cf;regular;music-alt;
music-alt-slash;;f8d0;regular;music-alt-slash;
music-slash;;f8d1;regular;music-slash;
narwhal;;f6fe;regular;narwhal;
network-wired;;f6ff;regular;network-wired;
neuter;;f22c;regular;neuter;
newspaper;;f1ea;regular;newspaper;
not-equal;;f53e;regular;not-equal;
notes-medical;;f481;regular;notes-medical;
object-group;;f247;regular;object-group;
object-ungroup;;f248;regular;object-ungroup;
octagon;;f306;regular;octagon;
oil-can;;f613;regular;oil-can;
oil-temp;;f614;regular;oil-temp;
om;;f679;regular;om;
omega;;f67a;regular;omega;
ornament;;f7b8;regular;ornament;
otter;;f700;regular;otter;
outdent;;f03b;regular;outdent;
outlet;;e01c;regular;outlet;
oven;;e01d;regular;oven;
overline;;f876;regular;overline;
page-break;;f877;regular;page-break;
pager;;f815;regular;pager;
paint-brush;;f1fc;regular;paint-brush;
paint-brush-alt;;f5a9;regular;paint-brush-alt;
paint-roller;;f5aa;regular;paint-roller;
palette;;f53f;regular;palette;
pallet;;f482;regular;pallet;
pallet-alt;;f483;regular;pallet-alt;
paper-plane;;f1d8;regular;paper-plane;
paperclip;;f0c6;regular;paperclip;
parachute-box;;f4cd;regular;parachute-box;
paragraph;;f1dd;regular;paragraph;
paragraph-rtl;;f878;regular;paragraph-rtl;
parking;;f540;regular;parking;
parking-circle;;f615;regular;parking-circle;
parking-circle-slash;;f616;regular;parking-circle-slash;
parking-slash;;f617;regular;parking-slash;
passport;;f5ab;regular;passport;
pastafarianism;;f67b;regular;pastafarianism;
paste;;f0ea;regular;paste;
pause;;f04c;regular;pause;
pause-circle;;f28b;regular;pause-circle;
paw;;f1b0;regular;paw;
paw-alt;;f701;regular;paw-alt;
paw-claws;;f702;regular;paw-claws;
peace;;f67c;regular;peace;
pegasus;;f703;regular;pegasus;
pen;;f304;regular;pen;
pen-alt;;f305;regular;pen-alt;
pen-fancy;;f5ac;regular;pen-fancy;
pen-nib;;f5ad;regular;pen-nib;
pen-square;;f14b;regular;pen-square;
pencil;;f040;regular;pencil;
pencil-alt;;f303;regular;pencil-alt;
pencil-paintbrush;;f618;regular;pencil-paintbrush;
pencil-ruler;;f5ae;regular;pencil-ruler;
pennant;;f456;regular;pennant;
people-arrows;;e068;regular;people-arrows;
people-carry;;f4ce;regular;people-carry;
pepper-hot;;f816;regular;pepper-hot;
percent;;f295;regular;percent;
percentage;;f541;regular;percentage;
person-booth;;f756;regular;person-booth;
person-carry;;f4cf;regular;person-carry;
person-dolly;;f4d0;regular;person-dolly;
person-dolly-empty;;f4d1;regular;person-dolly-empty;
person-sign;;f757;regular;person-sign;
phone;;f095;regular;phone;
phone-alt;;f879;regular;phone-alt;
phone-laptop;;f87a;regular;phone-laptop;
phone-office;;f67d;regular;phone-office;
phone-plus;;f4d2;regular;phone-plus;
phone-rotary;;f8d3;regular;phone-rotary;
phone-slash;;f3dd;regular;phone-slash;
phone-square;;f098;regular;phone-square;
phone-square-alt;;f87b;regular;phone-square-alt;
phone-volume;;f2a0;regular;phone-volume;
photo-video;;f87c;regular;photo-video;
pi;;f67e;regular;pi;
piano;;f8d4;regular;piano;
piano-keyboard;;f8d5;regular;piano-keyboard;
pie;;f705;regular;pie;
pig;;f706;regular;pig;
piggy-bank;;f4d3;regular;piggy-bank;
pills;;f484;regular;pills;
pizza;;f817;regular;pizza;
pizza-slice;;f818;regular;pizza-slice;
place-of-worship;;f67f;regular;place-of-worship;
plane;;f072;regular;plane;
plane-alt;;f3de;regular;plane-alt;
plane-arrival;;f5af;regular;plane-arrival;
plane-departure;;f5b0;regular;plane-departure;
plane-slash;;e069;regular;plane-slash;
planet-moon;;e01f;regular;planet-moon;
planet-ringed;;e020;regular;planet-ringed;
play;;f04b;regular;play;
play-circle;;f144;regular;play-circle;
plug;;f1e6;regular;plug;
plus;;f067;regular;plus;
plus-circle;;f055;regular;plus-circle;
plus-hexagon;;f300;regular;plus-hexagon;
plus-octagon;;f301;regular;plus-octagon;
plus-square;;f0fe;regular;plus-square;
podcast;;f2ce;regular;podcast;
podium;;f680;regular;podium;
podium-star;;f758;regular;podium-star;
police-box;;e021;regular;police-box;
poll;;f681;regular;poll;
poll-h;;f682;regular;poll-h;
poll-people;;f759;regular;poll-people;
poo;;f2fe;regular;poo;
poo-storm;;f75a;regular;poo-storm;
poop;;f619;regular;poop;
popcorn;;f819;regular;popcorn;
portal-enter;;e022;regular;portal-enter;
portal-exit;;e023;regular;portal-exit;
portrait;;f3e0;regular;portrait;
pound-sign;;f154;regular;pound-sign;
power-off;;f011;regular;power-off;
pray;;f683;regular;pray;
praying-hands;;f684;regular;praying-hands;
prescription;;f5b1;regular;prescription;
prescription-bottle;;f485;regular;prescription-bottle;
prescription-bottle-alt;;f486;regular;prescription-bottle-alt;
presentation;;f685;regular;presentation;
print;;f02f;regular;print;
print-search;;f81a;regular;print-search;
print-slash;;f686;regular;print-slash;
procedures;;f487;regular;procedures;
project-diagram;;f542;regular;project-diagram;
projector;;f8d6;regular;projector;
pump-medical;;e06a;regular;pump-medical;
pump-soap;;e06b;regular;pump-soap;
pumpkin;;f707;regular;pumpkin;
puzzle-piece;;f12e;regular;puzzle-piece;
qrcode;;f029;regular;qrcode;
question;;f128;regular;question;
question-circle;;f059;regular;question-circle;
question-square;;f2fd;regular;question-square;
quidditch;;f458;regular;quidditch;
quote-left;;f10d;regular;quote-left;
quote-right;;f10e;regular;quote-right;
quran;;f687;regular;quran;
rabbit;;f708;regular;rabbit;
rabbit-fast;;f709;regular;rabbit-fast;
racquet;;f45a;regular;racquet;
radar;;e024;regular;radar;
radiation;;f7b9;regular;radiation;
radiation-alt;;f7ba;regular;radiation-alt;
radio;;f8d7;regular;radio;
radio-alt;;f8d8;regular;radio-alt;
rainbow;;f75b;regular;rainbow;
raindrops;;f75c;regular;raindrops;
ram;;f70a;regular;ram;
ramp-loading;;f4d4;regular;ramp-loading;
random;;f074;regular;random;
raygun;;e025;regular;raygun;
receipt;;f543;regular;receipt;
record-vinyl;;f8d9;regular;record-vinyl;
rectangle-landscape;;f2fa;regular;rectangle-landscape;
rectangle-portrait;;f2fb;regular;rectangle-portrait;
rectangle-wide;;f2fc;regular;rectangle-wide;
recycle;;f1b8;regular;recycle;
redo;;f01e;regular;redo;
redo-alt;;f2f9;regular;redo-alt;
refrigerator;;e026;regular;refrigerator;
registered;;f25d;regular;registered;
remove-format;;f87d;regular;remove-format;
repeat;;f363;regular;repeat;
repeat-1;;f365;regular;repeat-1;
repeat-1-alt;;f366;regular;repeat-1-alt;
repeat-alt;;f364;regular;repeat-alt;
reply;;f3e5;regular;reply;
reply-all;;f122;regular;reply-all;
republican;;f75e;regular;republican;
restroom;;f7bd;regular;restroom;
retweet;;f079;regular;retweet;
retweet-alt;;f361;regular;retweet-alt;
ribbon;;f4d6;regular;ribbon;
ring;;f70b;regular;ring;
rings-wedding;;f81b;regular;rings-wedding;
road;;f018;regular;road;
robot;;f544;regular;robot;
rocket;;f135;regular;rocket;
rocket-launch;;e027;regular;rocket-launch;
route;;f4d7;regular;route;
route-highway;;f61a;regular;route-highway;
route-interstate;;f61b;regular;route-interstate;
router;;f8da;regular;router;
rss;;f09e;regular;rss;
rss-square;;f143;regular;rss-square;
ruble-sign;;f158;regular;ruble-sign;
ruler;;f545;regular;ruler;
ruler-combined;;f546;regular;ruler-combined;
ruler-horizontal;;f547;regular;ruler-horizontal;
ruler-triangle;;f61c;regular;ruler-triangle;
ruler-vertical;;f548;regular;ruler-vertical;
running;;f70c;regular;running;
rupee-sign;;f156;regular;rupee-sign;
rv;;f7be;regular;rv;
sack;;f81c;regular;sack;
sack-dollar;;f81d;regular;sack-dollar;
sad-cry;;f5b3;regular;sad-cry;
sad-tear;;f5b4;regular;sad-tear;
salad;;f81e;regular;salad;
sandwich;;f81f;regular;sandwich;
satellite;;f7bf;regular;satellite;
satellite-dish;;f7c0;regular;satellite-dish;
sausage;;f820;regular;sausage;
save;;f0c7;regular;save;
sax-hot;;f8db;regular;sax-hot;
saxophone;;f8dc;regular;saxophone;
scalpel;;f61d;regular;scalpel;
scalpel-path;;f61e;regular;scalpel-path;
scanner;;f488;regular;scanner;
scanner-image;;f8f3;regular;scanner-image;
scanner-keyboard;;f489;regular;scanner-keyboard;
scanner-touchscreen;;f48a;regular;scanner-touchscreen;
scarecrow;;f70d;regular;scarecrow;
scarf;;f7c1;regular;scarf;
school;;f549;regular;school;
screwdriver;;f54a;regular;screwdriver;
scroll;;f70e;regular;scroll;
scroll-old;;f70f;regular;scroll-old;
scrubber;;f2f8;regular;scrubber;
scythe;;f710;regular;scythe;
sd-card;;f7c2;regular;sd-card;
search;;f002;regular;search;
search-dollar;;f688;regular;search-dollar;
search-location;;f689;regular;search-location;
search-minus;;f010;regular;search-minus;
search-plus;;f00e;regular;search-plus;
seedling;;f4d8;regular;seedling;
send-back;;f87e;regular;send-back;
send-backward;;f87f;regular;send-backward;
sensor;;e028;regular;sensor;
sensor-alert;;e029;regular;sensor-alert;
sensor-fire;;e02a;regular;sensor-fire;
sensor-on;;e02b;regular;sensor-on;
sensor-smoke;;e02c;regular;sensor-smoke;
server;;f233;regular;server;
shapes;;f61f;regular;shapes;
share;;f064;regular;share;
share-all;;f367;regular;share-all;
share-alt;;f1e0;regular;share-alt;
share-alt-square;;f1e1;regular;share-alt-square;
share-square;;f14d;regular;share-square;
sheep;;f711;regular;sheep;
shekel-sign;;f20b;regular;shekel-sign;
shield;;f132;regular;shield;
shield-alt;;f3ed;regular;shield-alt;
shield-check;;f2f7;regular;shield-check;
shield-cross;;f712;regular;shield-cross;
shield-virus;;e06c;regular;shield-virus;
ship;;f21a;regular;ship;
shipping-fast;;f48b;regular;shipping-fast;
shipping-timed;;f48c;regular;shipping-timed;
shish-kebab;;f821;regular;shish-kebab;
shoe-prints;;f54b;regular;shoe-prints;
shopping-bag;;f290;regular;shopping-bag;
shopping-basket;;f291;regular;shopping-basket;
shopping-cart;;f07a;regular;shopping-cart;
shovel;;f713;regular;shovel;
shovel-snow;;f7c3;regular;shovel-snow;
shower;;f2cc;regular;shower;
shredder;;f68a;regular;shredder;
