short_name;character;unicode;styles;keyword;categories
bell;;f0f3;regular;bell;
bell-exclamation;;f848;regular;bell-exclamation;
bell-on;;f8fa;regular;bell-on;
bell-plus;;f849;regular;bell-plus;
bell-school;;f5d5;regular;bell-school;
bell-school-slash;;f5d6;regular;bell-school-slash;
bell-slash;;f1f6;regular;bell-slash;
bells;;f77f;regular;bells;
betamax;;f8a4;regular;betamax;
bezier-curve;;f55b;regular;bezier-curve;
bible;;f647;regular;bible;
bicycle;;f206;regular;bicycle;
biking;;f84a;regular;biking;
biking-mountain;;f84b;regular;biking-mountain;
binoculars;;f1e5;regular;binoculars;
biohazard;;f780;regular;biohazard;
birthday-cake;;f1fd;regular;birthday-cake;
blanket;;f498;regular;blanket;
blender;;f517;regular;blender;
blender-phone;;f6b6;regular;blender-phone;
blind;;f29d;regular;blind;
blinds;;f8fb;regular;blinds;
blinds-open;;f8fc;regular;blinds-open;
blinds-raised;;f8fd;regular;blinds-raised;
blog;;f781;regular;blog;
bold;;f032;regular;bold;
bolt;;f0e7;regular;bolt;
bomb;;f1e2;regular;bomb;
bone;;f5d7;regular;bone;
bone-break;;f5d8;regular;bone-break;
bong;;f55c;regular;bong;
book;;f02d;regular;book;
book-alt;;f5d9;regular;book-alt;
book-dead;;f6b7;regular;book-dead;
book-heart;;f499;regular;book-heart;
book-medical;;f7e6;regular;book-medical;
book-open;;f518;regular;book-open;
book-reader;;f5da;regular;book-reader;
book-spells;;f6b8;regular;book-spells;
book-user;;f7e7;regular;book-user;
bookmark;;f02e;regular;bookmark;
books;;f5db;regular;books;
books-medical;;f7e8;regular;books-medical;
boombox;;f8a5;regular;boombox;
boot;;f782;regular;boot;
booth-curtain;;f734;regular;booth-curtain;
border-all;;f84c;regular;border-all;
border-bottom;;f84d;regular;border-bottom;
border-center-h;;f89c;regular;border-center-h;
border-center-v;;f89d;regular;border-center-v;
border-inner;;f84e;regular;border-inner;
border-left;;f84f;regular;border-left;
border-none;;f850;regular;border-none;
border-outer;;f851;regular;border-outer;
border-right;;f852;regular;border-right;
border-style;;f853;regular;border-style;
border-style-alt;;f854;regular;border-style-alt;
border-top;;f855;regular;border-top;
bow-arrow;;f6b9;regular;bow-arrow;
bowling-ball;;f436;regular;bowling-ball;
bowling-pins;;f437;regular;bowling-pins;
box;;f466;regular;box;
box-alt;;f49a;regular;box-alt;
box-ballot;;f735;regular;box-ballot;
box-check;;f467;regular;box-check;
box-fragile;;f49b;regular;box-fragile;
box-full;;f49c;regular;box-full;
box-heart;;f49d;regular;box-heart;
box-open;;f49e;regular;box-open;
box-tissue;;e05b;regular;box-tissue;
box-up;;f49f;regular;box-up;
box-usd;;f4a0;regular;box-usd;
boxes;;f468;regular;boxes;
boxes-alt;;f4a1;regular;boxes-alt;
boxing-glove;;f438;regular;boxing-glove;
brackets;;f7e9;regular;brackets;
brackets-curly;;f7ea;regular;brackets-curly;
braille;;f2a1;regular;braille;
brain;;f5dc;regular;brain;
bread-loaf;;f7eb;regular;bread-loaf;
bread-slice;;f7ec;regular;bread-slice;
briefcase;;f0b1;regular;briefcase;
briefcase-medical;;f469;regular;briefcase-medical;
bring-forward;;f856;regular;bring-forward;
bring-front;;f857;regular;bring-front;
broadcast-tower;;f519;regular;broadcast-tower;
broom;;f51a;regular;broom;
browser;;f37e;regular;browser;
brush;;f55d;regular;brush;
bug;;f188;regular;bug;
building;;f1ad;regular;building;
bullhorn;;f0a1;regular;bullhorn;
bullseye;;f140;regular;bullseye;
bullseye-arrow;;f648;regular;bullseye-arrow;
bullseye-pointer;;f649;regular;bullseye-pointer;
burger-soda;;f858;regular;burger-soda;
burn;;f46a;regular;burn;
burrito;;f7ed;regular;burrito;
bus;;f207;regular;bus;
bus-alt;;f55e;regular;bus-alt;
bus-school;;f5dd;regular;bus-school;
business-time;;f64a;regular;business-time;
cabinet-filing;;f64b;regular;cabinet-filing;
cactus;;f8a7;regular;cactus;
calculator;;f1ec;regular;calculator;
calculator-alt;;f64c;regular;calculator-alt;
calendar;;f133;regular;calendar;
calendar-alt;;f073;regular;calendar-alt;
calendar-check;;f274;regular;calendar-check;
calendar-day;;f783;regular;calendar-day;
calendar-edit;;f333;regular;calendar-edit;
calendar-exclamation;;f334;regular;calendar-exclamation;
calendar-minus;;f272;regular;calendar-minus;
calendar-plus;;f271;regular;calendar-plus;
calendar-star;;f736;regular;calendar-star;
calendar-times;;f273;regular;calendar-times;
calendar-week;;f784;regular;calendar-week;
camcorder;;f8a8;regular;camcorder;
camera;;f030;regular;camera;
camera-alt;;f332;regular;camera-alt;
camera-home;;f8fe;regular;camera-home;
camera-movie;;f8a9;regular;camera-movie;
camera-polaroid;;f8aa;regular;camera-polaroid;
camera-retro;;f083;regular;camera-retro;
campfire;;f6ba;regular;campfire;
campground;;f6bb;regular;campground;
